investment_class,currency,total_assets,yield,greatstone_rating,inception_date,tag,fund_size,return_ytd
Blend,USD,581920,2.6,,28-12-2017,191168,Large,6.12
Growth,USD,82840000,0.45,0,24-05-2017,86903,Small,14.79
Blend,USD,151700000,0.25,5,27-02-2001,74474,Medium,4.52
Blend,USD,37960000,0,0,07-03-2018,210590,Large,3.82
Growth,USD,1370000000,0,3,30-04-2000,110105,Large,13.83
Value,USD,620990000,3.74,0,04-07-2016,66338,Medium,1.46
Value,USD,751970000,1.65,3,27-02-2013,54179,Large,11.5
Growth,USD,189450000,0.15,,31-08-2015,99503,Medium,16.38
Blend,USD,55710000,1.88,3,29-06-2010,145628,Large,9.48
Blend,USD,237500000,0.4,3,09-04-2013,68867,Large,12.98
Growth,USD,46360000,0,4,15-12-2011,101159,Medium,14.56
Blend,USD,465610000,1.61,3,01-07-2012,133586,Large,11.22
,USD,9230000000,5.86,4,28-06-2012,155636,,6.05
Value,USD,412030000,2.54,4,20-07-1999,111347,Medium,2.1
Value,USD,3430000000,6.29,4,27-02-2017,109574,Medium,4.09
Value,USD,437640000,0.95,3,19-12-2000,200501,Small,15.06
,USD,185830000,3.54,,31-10-2012,81422,,4.45
Growth,USD,96300000,4.25,1,31-01-1989,72980,Medium,15.19
Blend,USD,903210000,3.35,4,31-07-2017,79064,Large,2.64
Blend,USD,20750000,1.87,3,27-11-2014,175940,Large,12.18
Blend,USD,25440000,0,3,29-12-2011,72890,Large,-3.94
Value,USD,1140000000,0,,19-03-2007,163286,Medium,13.69
Growth,USD,143730000,0.81,4,24-03-1991,202202,Large,13.63
Blend,USD,302300000,2.95,,29-11-2005,72602,Large,10.19
Blend,USD,2420000000,0.62,,29-07-2010,217448,Large,12.95
Blend,USD,50080000,0.35,0,29-10-2015,57923,Medium,13.23
Growth,USD,116720000,0,5,31-01-2016,251306,Medium,16.72
Growth,USD,61110000,0,3,30-09-1992,70100,Small,14.51
Growth,USD,4810000,0,,02-04-2000,251513,Large,19.35
Blend,USD,202750000,3.17,2,31-10-2004,197198,Large,7.42
,USD,7500000,0,0,29-01-2004,239930,,-24.57
Growth,USD,2350000000,0,3,21-01-1998,74186,Large,18.17
Blend,USD,99380000,6.01,0,01-03-2011,115532,Large,11.57
Value,USD,322850000,3.02,,26-07-2017,144386,Medium,3.22
Blend,USD,1.4018E+11,2.04,5,16-09-2002,56915,Large,7.94
Blend,USD,14830000000,1.64,,31-01-2007,26261,Large,6.76
Blend,USD,336600000,3.32,4,09-10-2000,27476,Medium,3.18
Blend,USD,41030000,1.16,,28-12-2015,217439,Large,4.77
Growth,USD,15980000000,2.18,,29-09-2004,151991,Large,12.02
,USD,34010000,1.99,2,23-10-2016,113741,,3.21
Growth,USD,369980000,0.56,5,02-08-1992,252197,Large,13.4
Blend,USD,9280000000,1.66,4,17-05-2012,55232,Large,10.1
Blend,USD,232780000,2.2,4,08-07-2012,35585,Large,8.85
Blend,USD,84280000,9.34,5,28-04-2011,100250,Large,9.67
Value,USD,30020000,1.29,5,29-11-2015,149876,Medium,8.75
Blend,USD,95260000,1.37,3,29-09-2014,188756,Large,6.88
Value,USD,85650000,3.9,2,28-02-2011,72215,Medium,1.17
Growth,USD,23160000,0,0,30-05-2017,102320,Medium,21.35
Growth,USD,40910000,2.43,3,26-12-2007,188252,Small,2.35
Value,USD,1030000000,1.84,4,30-08-1999,214973,Medium,1.25
Growth,USD,9870000,5.32,3,20-09-2015,165221,Large,13.23
Growth,USD,418610000,2.58,4,31-01-1999,80423,Medium,2.77
Growth,USD,4370000000,0,,29-06-2000,251648,Large,15.91
Blend,USD,1480000000,2.71,,30-03-2011,47348,Large,2.96
Growth,USD,1080000000,0,,28-02-2005,31625,Large,17.21
Value,USD,12400000000,1.43,3,20-01-2003,185453,Large,11.69
Blend,USD,122300000,2.69,4,04-02-1996,215630,Large,6.12
Value,USD,31310000,0,1,29-11-2010,222470,Small,16.49
Blend,USD,29710000,0.52,4,04-09-2017,219644,Large,9.35
Value,USD,3820000000,3.74,,28-12-1997,68435,Large,4.34
Blend,USD,124490000,0,4,27-02-2014,253727,Small,11.18
Blend,USD,9060000,0.52,1,31-08-1994,220157,Large,12.14
Growth,USD,46360000,0,4,15-12-2011,101168,Medium,14.64
Value,USD,49660000000,2.1,2,11-11-2001,242135,Large,1.64
Blend,USD,198150000,3.32,,02-07-2017,215378,Medium,16.84
Blend,USD,370970000,2.56,3,26-05-2004,36287,Large,9.5
Growth,USD,4270000000,0,4,31-10-2011,132938,Medium,21.5
Blend,USD,350020000,1.89,3,30-08-2005,123776,Large,5.67
Growth,USD,5240000,2.32,,29-03-2012,148733,Medium,2.07
Value,USD,31310000,0,1,29-11-2010,222461,Small,16.23
Growth,USD,41600000,2.86,1,24-06-2012,165473,Large,10.24
Value,USD,261460000,0,2,29-04-2012,237986,Small,12.01
Growth,USD,1900000000,0,3,29-01-2004,250676,Small,15.18
Growth,USD,8410000000,3.87,3,30-10-2003,162962,Large,11.9
Growth,USD,38350000000,0.04,4,24-02-2002,58751,Large,13.51
Blend,USD,79080000,1.78,,30-01-2011,167651,Large,8.11
Value,USD,50560000,1.64,3,19-02-2004,214694,Large,11.04
Value,USD,894630000,1.9,4,31-07-2008,208556,Large,5.25
Blend,USD,23650000,1.38,3,28-05-2015,153224,Large,11.94
Growth,USD,1850000000,0,4,05-12-2000,195092,Medium,21.11
Growth,USD,470950000,0,3,30-09-1999,100646,Large,18.66
Growth,USD,6610000000,0.61,,30-03-2006,233036,Large,14.59
Blend,USD,17380000000,1.58,5,30-05-2007,181439,Large,9.71
Growth,USD,5970000,0,1,09-07-1989,58454,Large,6.76
Growth,USD,791960000,5.66,0,28-07-2016,205712,Small,4.52
Value,USD,9700000,1.56,3,30-11-2014,33641,Medium,12.14
Value,USD,43820000,3.09,2,25-09-2012,110663,Medium,8.91
Blend,USD,583240000,2,3,28-07-2016,204641,Medium,4.92
Blend,USD,1250000000,2.25,3,29-03-2000,168857,Large,9.29
Blend,USD,45500000,1.42,3,29-09-2004,237464,Large,5.1
Blend,USD,1240000000,2.67,3,22-12-2008,184499,Large,4.81
Blend,USD,209690000,0,3,31-03-2014,150695,Small,11.73
Growth,USD,616270000,1.73,2,01-06-2010,154520,Medium,2.75
Value,USD,3240000000,4.98,3,27-03-2016,44549,Small,3.95
Growth,USD,11290000000,0,3,16-08-1993,177533,Large,0.26
Value,USD,9610000,2.95,3,27-09-2007,251405,Large,13.22
,USD,302950000,1.32,1,14-08-1997,104399,,1.74
Growth,USD,27980000,4.75,0,11-12-2017,184121,Small,7.04
Blend,USD,2390000000,3.05,3,31-08-2011,137456,Large,5.44
Blend,USD,82330000,1.93,3,06-08-2015,238229,Large,9.52
Blend,USD,565380000,2.13,5,28-04-2011,238553,Large,12.1
,USD,24020000,0.07,1,13-12-2012,107450,,-1.15
Growth,USD,1130000000,0,,01-05-2007,79901,Small,15.69
Blend,USD,189630000,2.17,3,10-02-2015,202346,Large,11.83
Growth,USD,7250000000,1.56,3,08-05-2008,90332,Large,11.23
Growth,USD,3390000,0.71,0,26-02-2017,61406,Medium,13.15
Blend,USD,209460000,0,4,31-03-2014,160118,Small,11.54
Growth,USD,573720000,2.45,,04-04-2005,180359,Large,5.78
Value,USD,261170000,3.5,3,13-12-2011,195623,Large,7.33
Growth,USD,514300000,0,4,30-08-2016,43739,Small,19.72
Value,USD,37500000,2.08,,30-06-2013,69839,Medium,2.57
Value,USD,97810000,0,4,31-08-1978,59273,Large,9.11
Value,USD,240000000,1.04,,30-12-2014,187208,Large,10.63
Blend,USD,3960000000,1.52,5,27-09-2007,99854,Medium,10.81
Blend,USD,203210000,3.2,2,31-10-2004,197171,Large,5.06
Blend,USD,3180000000,2.87,4,03-12-2015,237545,Medium,2.97
Growth,USD,98640000000,1.11,,28-08-2014,206432,Large,11.82
Value,USD,14910000000,0.31,2,21-12-2008,137753,Large,9.02
Blend,USD,104440000,1.98,4,01-11-2012,142370,Large,12.77
Blend,USD,525810000,3.21,,06-01-1993,67976,Medium,2.84
Value,USD,7750000,2.46,0,02-12-2015,41687,Large,0.77
Blend,USD,10330000000,2.26,4,02-10-2012,148445,Large,3.89
Growth,USD,2500000000,0,2,26-12-2000,79568,Large,14.19
Blend,USD,423780000,2.98,,02-04-1985,88856,Large,2.64
Growth,USD,79560000,0.11,,21-02-1993,114470,Large,8.98
Growth,USD,28440000000,1.38,,01-01-1997,156788,Large,12.19
,USD,269660000,0,3,27-09-2012,60857,,-3.28
Value,USD,2010000000,0.86,,31-07-1994,92141,Small,12.88
Blend,USD,5980000,2.03,4,29-08-2007,91340,Large,4.37
Blend,USD,9810000000,2.61,4,15-05-1983,247319,Large,9.44
Growth,USD,90700000,0,1,02-02-2004,233702,Large,14.65
Growth,USD,8870000000,0.97,5,28-12-2011,179603,Medium,14.14
Growth,USD,726620000,0,4,30-10-2014,249677,Medium,22.74
Blend,USD,27350000,1.53,3,31-10-2004,194957,Large,9.32
Blend,USD,76930000,2.04,2,30-09-2001,251216,Large,6.28
Value,USD,2610000000,4.38,3,29-03-2011,180656,Small,2.45
Blend,USD,58430000,0.56,4,14-12-2011,137852,Large,12.05
Blend,USD,1270000000,3.3,,31-01-2018,225503,Medium,3.23
Growth,USD,676020000,0.44,0,04-08-2016,238076,Medium,16.63
,USD,2370000000,1.41,4,29-12-2004,60749,,6.3
Blend,USD,517350000,4.48,3,19-03-2007,144683,Small,2.8
Value,USD,38850000,1.54,5,30-04-2006,49571,Large,12.33
Growth,USD,362220000,0,,19-11-2008,123470,Small,17.3
Blend,USD,2320000000,1.73,3,29-06-2015,139778,Large,11.99
Growth,USD,143730000,0.56,4,05-05-1985,240902,Large,13.5
Value,USD,35520000,1.27,3,16-07-1992,238436,Large,8.93
,USD,731250000,2.62,4,30-06-1991,187829,,4.6
,USD,1440000000,3.29,4,30-06-2015,209357,,2.62
,USD,731250000,1.58,,19-01-1997,185885,,4.32
Blend,USD,249450000,1.03,,04-03-2018,59363,Large,12.73
Blend,USD,66810000,1.58,3,25-09-2011,146258,Medium,17.91
Blend,USD,13000000,2.15,3,06-07-2008,36548,Large,12.89
Value,USD,790330000,1.56,,05-03-2003,84383,Large,0.37
Growth,USD,4430000000,0,,23-02-2000,219338,Large,19.82
Blend,USD,1340000000,2.94,1,04-08-2013,84257,Large,11.52
Growth,USD,3220000000,0,,30-11-1999,212201,Large,12.61
Value,USD,81410000,2.23,2,30-09-1993,218240,Large,9.72
Blend,USD,563370000,1.31,1,04-02-2010,220472,Large,3.09
Growth,USD,810160000,0,5,31-10-2000,242405,Large,15.48
Blend,USD,1480000000,2.41,3,30-04-1995,90170,Large,2.38
Growth,USD,9150000000,0.75,,01-10-2006,82682,Large,7.69
Blend,USD,56990000,0,3,29-12-2011,66680,Medium,9.66
Growth,USD,195790000,0.68,4,30-12-2007,145745,Medium,13.55
Growth,USD,14780000000,0.66,5,31-01-2007,204875,Large,11.03
Growth,USD,4190000000,0.07,3,28-12-2006,67184,Large,11.84
Growth,USD,553420000,0,4,02-03-2017,113597,Small,18.74
Blend,USD,28100000000,0.92,,07-06-2016,157463,Large,7.53
Growth,USD,68390000,0,3,26-08-2015,202625,Large,9.78
Value,USD,28530000000,2.43,,16-10-2012,247481,Large,1.71
Growth,USD,459810000,0,4,16-05-2007,205343,Large,14.03
Value,USD,129570000,0.96,3,03-03-2015,157040,Medium,13.13
Value,USD,7680000,45.36,,24-05-2005,213983,Medium,13.85
Value,USD,206660000,0.93,2,26-12-2012,144206,Large,12.62
Value,USD,813630000,3.38,4,14-09-2000,251783,Medium,1.84
Value,USD,3450000000,8.85,,27-06-2013,179810,Medium,12.34
Value,USD,63730000,2.7,3,28-08-2012,73142,Large,8.36
Value,USD,547940000,1.18,3,25-06-2014,137654,Large,11.49
Value,USD,95340000,1.17,4,06-11-2008,215297,Medium,0.15
Blend,USD,248420000,2.13,4,23-02-2017,162071,Medium,15.52
Growth,USD,340590000,1.67,2,18-03-2015,35945,Medium,14.52
Growth,USD,1780000000,0.64,3,28-02-2010,182411,Large,13.16
Blend,USD,215810000,2.98,3,18-03-2013,57608,Medium,2.42
Blend,USD,517540000,0.87,2,27-09-2010,87587,Large,8.58
Blend,USD,1070000000,1.73,3,02-01-1989,203345,Large,2.4
Blend,USD,309840000,1.81,3,25-02-2016,238688,Large,7.45
Value,USD,16450000000,2.52,0,16-10-2016,148022,Large,0.89
Value,USD,119820000,3.15,4,27-09-2015,87011,Medium,2.27
,USD,100170000,2.54,3,30-05-2012,193076,,2.76
,USD,1170000000,0.74,0,31-10-2011,127322,,-0.11
Growth,USD,271990000,1.42,0,15-02-2018,159173,Large,12.35
Growth,USD,25040000,5.37,3,27-03-2008,165707,Large,13.42
Growth,USD,4920000000,0.27,2,30-09-1984,227546,Large,16.99
Growth,USD,825040000,0.8,3,01-11-1993,72197,Large,9.92
Growth,USD,6810000,0,2,31-08-1998,155573,Small,11.59
Blend,USD,1540000000,2.68,3,28-12-2004,101726,Large,11.3
Value,USD,557130000,1.27,3,24-03-2009,82952,Large,10.97
Blend,USD,757740000,3.63,4,19-11-2017,61343,Large,11.6
Growth,USD,747960000,0,3,29-02-2016,112787,Medium,21.65
Value,USD,502210000,0.28,,18-08-1997,234485,Large,7.3
Blend,USD,10760000,1.58,3,29-08-2013,141362,Medium,15.29
Value,USD,198230000,0.44,2,26-05-2014,47546,Medium,-3.86
Blend,USD,17300000,3.24,3,01-11-2012,119474,Small,4.81
Blend,USD,131750000,3.5,,27-02-2011,128393,Large,10.31
Growth,USD,67500000,5.45,4,28-04-2014,196001,Small,6.64
Blend,USD,323750000,1.02,3,29-12-2005,128654,Large,14.37
Blend,USD,1230000000,1.49,3,29-11-2009,227519,Large,11.74
Value,USD,1390000000,2.88,,27-02-2008,128357,Large,9.22
Growth,USD,11740000,0.16,,28-06-2004,102590,Large,19.32
Value,USD,6490000000,2.43,3,03-12-2015,232109,Large,11.87
,USD,155300000,1.49,,30-08-2009,182663,,2.25
Value,USD,30020000,0.39,1,30-09-2013,232928,Medium,5.33
Blend,USD,20210000,2.19,3,30-01-2011,167336,Large,10.96
Blend,USD,203210000,2.21,,22-02-1993,179945,Medium,2.35
Value,USD,164180000,1.41,3,30-11-2006,144899,Large,11.42
Growth,USD,1790000000,0.63,4,30-07-2002,71558,Large,13.89
Value,USD,4720000000,2.39,5,22-12-2003,94607,Large,11.14
Blend,USD,151720000,3.12,4,31-07-2017,161756,Medium,2.67
Value,USD,714220000,2.19,3,20-04-2005,77453,Small,1.74
Growth,USD,244740000,4.41,3,03-06-2008,118412,Small,2.21
Blend,USD,833100000,2.06,,30-01-2011,167606,Large,8.19
Blend,USD,508500000,3.65,,01-10-2006,153125,Large,2.78
Blend,USD,1.1306E+11,1.76,3,19-05-2002,212777,Large,10.32
Growth,USD,2400000000,0,5,07-11-2005,86957,Small,22.66
Value,USD,2080000000,2.33,5,10-05-1987,33353,Medium,1.61
Growth,USD,4630000000,1.03,5,31-01-2010,205883,Large,11.44
Blend,USD,263370000,1.38,3,07-09-1993,229256,Large,13.39
Value,USD,2220000000,7,2,27-03-2013,101789,Medium,18.31
Growth,USD,5050000000,0.86,4,16-10-2005,112022,Large,14.54
Value,USD,4520000000,1.13,4,10-12-1998,70055,Small,11.87
Blend,USD,246030000,0.81,4,19-07-1989,105272,Large,14.23
Blend,USD,1270000000,2.67,2,03-09-2012,134900,Large,6.47
Value,USD,1220000000,1.04,2,30-06-1991,101294,Large,5.6
Growth,USD,1100000000,0,4,31-03-2011,230516,Medium,21.13
Value,USD,5910000000,4.7,3,27-08-2015,181034,Small,7.28
Blend,USD,14120000,4.63,4,27-12-2016,196703,Medium,19.76
Value,USD,65280000,1.31,4,18-05-2011,88487,Medium,0.39
Value,USD,165230000,1.37,,02-10-2011,138716,Medium,13.74
Growth,USD,46540000000,1.11,3,11-11-2001,243584,Large,7.92
Growth,USD,113750000,0.38,3,20-12-2015,125522,Large,20.15
Value,USD,170730000,1.22,1,28-01-1993,196766,Medium,1.1
Growth,USD,531420000,0.54,3,30-07-2015,113354,Large,14.45
Value,USD,11960000000,2.08,2,01-01-1997,231353,Large,8.24
Value,USD,4350000000,1.31,3,02-02-2012,50480,Large,10.93
Blend,USD,17390000,0.95,2,30-12-2007,80666,Large,7.37
Blend,USD,877640000,2.87,5,15-08-2013,239642,Large,2.46
Blend,USD,956660000,3.07,5,26-05-2014,42848,Medium,3.89
Value,USD,2290000,0.4,1,30-07-2014,40472,Medium,10.6
Growth,USD,91050000,0.67,,30-04-1998,112202,Medium,19.53
Value,USD,11410000000,1.98,4,31-07-1994,239273,Large,10.48
Blend,USD,34130000,0.47,1,19-12-2013,210527,Medium,1.94
Growth,USD,171570000,0,1,29-09-2010,96938,Large,6.18
Growth,USD,72160000,1.59,,21-01-2001,111509,Large,11.4
Blend,USD,132420000,1.88,4,14-09-2017,228293,Large,9.1
Growth,USD,10220000,0.27,0,26-05-2016,157994,Large,13.2
Value,USD,11960000,0,,26-12-2010,252854,Small,11.69
Growth,USD,1720000000,0.73,5,30-10-2012,62846,Large,11.19
Value,USD,33390000,3.32,,07-05-2015,40634,Medium,4.06
Blend,USD,265310000,2.35,3,30-12-2003,217628,Large,11.79
Value,USD,22590000,1.58,3,28-07-2011,237419,Large,5.84
Value,USD,242180000,1.09,2,29-06-1998,51524,Large,10.41
Blend,USD,7350000,0.88,,16-05-2010,142703,Large,12.58
,USD,78990000,2.24,2,26-02-2015,53162,,0.68
Growth,USD,16960000000,1.36,5,26-01-2017,81323,Large,10.61
Growth,USD,839340000,0,2,29-06-2015,146456,Small,12.41
Blend,USD,18330000,1.77,5,29-08-2007,86147,Large,6.38
Value,USD,140110000,1.96,3,02-12-1985,82457,Large,0.71
Blend,USD,514340000,0,3,11-06-2009,123263,Small,14.41
Value,USD,1180000000,2.16,,23-09-2012,58688,Small,11.01
Value,USD,685600000,3.55,2,03-04-2017,143387,Large,7.29
Value,USD,513220000,3.14,1,12-08-1993,247580,Medium,2.08
Value,USD,1340000000,8.43,2,16-02-2011,35054,Medium,20.09
Growth,USD,71600000,0.85,4,05-08-1996,89963,Large,8.93
Growth,USD,9820000000,0,5,30-08-2009,33587,Large,19.3
Blend,USD,2740000000,1.98,4,29-09-2009,233954,Large,8.68
Blend,USD,691930000,0.62,,10-12-2006,211202,Medium,16.39
Growth,USD,13970000000,0.29,4,02-05-1993,133622,Large,16.75
Growth,USD,464360000,0,3,23-01-2007,42317,Large,14.32
Value,USD,73970000,2.52,5,04-06-2015,201779,Large,7.61
Value,USD,427250000,1.72,,30-08-2015,49913,Medium,1.4
Growth,USD,791960000,5.53,0,28-07-2016,71720,Small,4.5
Growth,USD,878160000,1.11,5,21-11-2016,210662,Large,9.13
Blend,USD,55420000,2.48,,29-05-1997,83879,Large,2.2
Blend,USD,23070000,0.06,3,03-09-2001,152252,Medium,13.95
Value,USD,516120000,2.71,,02-08-2015,96020,Small,2.68
Blend,USD,152620000,0,2,29-06-1999,200240,Large,13.37
Value,USD,14910000000,0.93,2,29-02-2012,128105,Large,9.21
Blend,USD,36980000,1.62,2,14-12-2014,230192,Large,10.74
Value,USD,5800000000,1.54,3,30-05-2005,41057,Large,13.34
Blend,USD,116600000,2.17,0,15-02-2018,159101,Large,7.84
Blend,USD,4650000000,3.25,3,08-11-1994,221813,Medium,2.61
Blend,USD,2630000000,0.99,3,21-12-1999,152162,Large,13.93
Growth,USD,1780000000,0.98,4,28-02-2010,182438,Large,13.29
Blend,USD,43270000,2.71,1,30-03-2008,200087,Large,8.77
Blend,USD,211170000,2.67,3,27-03-2006,204938,Large,4.35
Blend,USD,328930000,1.1,4,06-09-1993,89324,Large,13.43
Value,USD,598520000,2.51,3,30-05-2012,75626,Large,8.19
Blend,USD,50300000,2.77,,25-03-2015,59237,Medium,3.01
Value,USD,1280000000,2.34,3,05-07-2009,136070,Medium,1.63
Blend,USD,393100000,3.52,4,29-09-2015,123038,Small,2.93
Value,USD,1430000000,1.64,2,17-05-2012,60011,Large,1.37
,USD,3370000000,2.47,3,29-11-2017,102923,,0.99
Blend,USD,4350000000,2.48,,18-09-2012,235547,Large,20.88
Blend,USD,2290000,0.95,1,29-12-2009,55007,Large,9.76
Blend,USD,1570000000,5.75,2,15-09-1997,204434,Large,6.78
Blend,USD,671970000,1.87,2,01-05-1994,125990,Large,10.67
Value,USD,442120000,2.3,3,20-05-2003,167273,Large,3.6
Value,USD,1330000,2.73,3,30-12-2014,44945,Large,7.89
Growth,USD,1760000000,0,5,28-02-1999,115415,Large,18.22
Blend,USD,3960000,0,2,30-07-2015,33308,Small,19.38
Growth,USD,3370000000,3.47,3,31-07-1997,59147,Medium,2.83
Growth,USD,76780000,0.33,,14-11-2017,151604,Large,12.2
Growth,USD,381800000,0.07,3,17-12-2008,188117,Large,19.53
Blend,USD,54230000,1.02,2,18-06-2000,206063,Medium,25.49
Growth,USD,282310000,0,,30-05-2017,163457,Small,30.2
Value,USD,1610000000,5.56,5,10-01-1995,219941,Small,6.87
Blend,USD,82010000,0,4,29-03-2012,61640,Large,4.59
Value,USD,11410000000,1.74,,06-03-1997,239237,Large,10.42
Blend,USD,2420000000,1.88,,30-08-2004,38636,Large,9.24
Blend,USD,2980000000,1.75,4,23-07-2003,81998,Large,10.34
Value,USD,165230000,1.12,4,02-10-2011,138734,Medium,13.67
Blend,USD,367120000,1.96,2,03-09-2003,97010,Medium,3.24
Blend,USD,378090000,2.47,,23-07-1992,241397,Medium,2.3
Blend,USD,833670000,3.33,3,31-05-1972,147995,Medium,5.22
Value,USD,43820000,2.36,2,25-09-2012,110654,Medium,8.71
Growth,USD,154960000,0,2,23-02-2017,106604,Medium,14.51
Value,USD,377660000,4.35,,27-09-2007,168416,Large,8.92
Value,USD,3960000000,0,3,28-11-1995,64871,Small,13.22
Blend,USD,64250000,3.19,4,31-01-1990,153296,Medium,2.7
Value,USD,12770000,6.03,,30-06-2010,31031,Small,8.89
Value,USD,412510000,0.92,2,25-07-2011,36665,Large,13.33
Growth,USD,15620000000,0.75,3,30-04-2013,85301,Large,15.31
Value,USD,17430000,3.87,1,31-01-2001,43262,Large,5.47
Blend,USD,1500000000,3.97,1,16-08-2010,118277,Small,3.2
Blend,USD,594490,0,2,30-05-2013,95381,Large,10.35
Growth,USD,210810000,2.32,3,10-09-2000,227717,Large,12.18
Blend,USD,190630000,3.37,4,31-07-2017,161702,Medium,2.63
Value,USD,885400000,1.95,,09-04-2017,34442,Large,11.86
Blend,USD,2040000000,0.39,3,05-07-2009,134171,Large,11.02
Blend,USD,963450000,1.51,,29-11-2009,228275,Large,9.11
Blend,USD,5010000000,1.03,3,31-01-2007,203633,Large,6.11
Growth,USD,13990000000,0.89,3,09-09-2001,137420,Large,13.47
Value,USD,250970000,4.69,,03-10-2006,215414,Small,3.8
Blend,USD,70750000,0,2,18-04-2004,230912,Small,15.52
,USD,1600000000,2.88,4,26-08-2001,101618,,3.34
Blend,USD,37070000,1.99,,19-08-2013,236186,Large,6.41
Growth,USD,380800000,0.3,4,01-01-1997,166625,Large,14.99
Value,USD,1520000000,0,2,02-02-2009,142883,Medium,13.7
Blend,USD,589890000,2.73,,30-04-2017,102212,Large,11.08
,USD,18080000000,2.73,2,18-06-2015,244340,,2.25
Blend,USD,2150000000,1.24,5,31-03-2011,246590,Small,11.59
Growth,USD,208850000,0.98,1,11-04-2012,235142,Medium,11.34
Blend,USD,2980000000,2.99,4,18-06-2012,60596,Large,8.87
Growth,USD,17610000,0,0,26-05-2016,158048,Large,14.29
Growth,USD,5430000000,0.32,,29-09-2009,233126,Large,17.63
Blend,USD,61490000,1.64,4,29-09-2015,228365,Large,10.11
Growth,USD,2270000000,0,3,28-05-2009,48023,Medium,16.8
Blend,USD,366640000,1.74,2,28-09-2005,153872,Large,6.42
Blend,USD,54800000,2.1,3,01-05-2016,248012,Large,9.09
,USD,696930000,2.04,,28-02-2012,98162,,2.56
Growth,USD,133440000,0.48,0,14-04-2016,53468,Large,13.67
Growth,USD,8760000000,1.07,5,30-05-2007,181457,Large,12.15
Value,USD,2490000000,5.11,2,26-05-2009,171305,Small,6.74
Blend,USD,5360000,1.42,2,21-08-2016,105776,Large,8.96
Blend,USD,38290000,2.15,2,02-08-2012,119690,Large,11.52
Growth,USD,972410000,2.18,2,03-01-1993,185039,Medium,2.83
Growth,USD,26410000,5.88,0,11-12-2017,188360,Medium,4.79
Growth,USD,2450000000,1.48,2,13-06-2012,164456,Large,10.99
Blend,USD,38510000,1.74,3,27-09-2012,43568,Medium,16.62
Blend,USD,16220000,0,0,30-05-2006,213713,Medium,-24.61
Value,USD,2430000000,2.31,4,01-02-1984,72854,Medium,2.39
Blend,USD,513960000,2.4,2,16-11-1988,105281,Small,3.05
Growth,USD,550350000,0,,06-11-2014,119258,Medium,22.61
Blend,USD,55350000,2.08,4,01-11-2015,69038,Large,11.76
Growth,USD,8340000000,0.04,4,14-11-2010,152711,Medium,17.31
Value,USD,1280000000,2.1,,31-07-2014,201671,Large,13.02
Blend,USD,213750000,2.57,4,05-12-2010,179495,Medium,3.02
Blend,USD,5160000000,1.36,,31-05-2011,81197,Large,11.39
Growth,USD,406540000,0.34,2,30-07-2012,161054,Small,12.72
Growth,USD,423660000,0.02,3,17-05-1987,169865,Small,13.49
Growth,USD,1340000000,0,4,30-04-2002,107954,Small,20.73
Blend,USD,61980000,0,0,12-10-2017,240497,Large,12.16
Value,USD,1320000000,2.71,4,25-11-1985,196406,Large,1.81
Growth,USD,415630000,3.43,4,31-03-2016,150569,Medium,3.24
Growth,USD,11150000000,2.48,4,30-04-2015,136790,Large,11.18
Value,USD,1470000000,1.78,2,30-01-2011,44189,Large,7.79
Value,USD,27840000,1.77,2,10-11-2014,107351,Medium,8.62
Value,USD,10080000000,2.93,4,20-10-1994,152189,Medium,2.53
Value,USD,139040000,5.64,,11-04-2010,41741,Small,7.14
Growth,USD,5470000000,1.96,3,28-02-2001,199277,Large,10.39
Growth,USD,5450000000,0.11,4,27-02-2006,128483,Large,16.17
Growth,USD,15050000000,1.43,4,16-07-2017,112004,Large,11.66
Blend,USD,70720000,2.17,3,30-12-2014,182231,Large,9.56
Value,USD,45670000,3.04,,29-09-2004,228068,Large,6.76
Blend,USD,157480000,2.86,4,01-08-1993,175580,Medium,2.22
,USD,136340000,0,1,29-04-2014,117719,,1.33
Value,USD,11490000000,3.41,5,31-05-2010,63746,Small,2.96
Growth,USD,628040000,1.68,4,28-02-2017,55439,Large,13.31
Blend,USD,301450000,2.32,,28-08-2007,175247,Large,10.01
Growth,USD,9200000000,1.3,3,12-08-2013,95948,Large,11.81
Blend,USD,150380000,3.36,4,31-07-2017,244286,Medium,5.42
Blend,USD,156310000,2.2,3,14-12-2014,229742,Large,8
Value,USD,1340000000,0.84,,27-02-2008,150956,Large,12.14
Growth,USD,3030000000,0.23,4,26-01-2017,126467,Large,21.39
Growth,USD,4970000000,1.83,,01-10-2006,93698,Large,4.34
Growth,USD,25280000,0.92,3,30-03-2010,194822,Large,12.98
Blend,USD,30230000,2.56,0,29-12-2016,136988,Large,5.21
Blend,USD,672470000,1.02,,02-07-1995,78542,Large,15.57
Growth,USD,1640000,0.08,2,28-02-2016,106172,Medium,14.61
Growth,USD,4610000000,0,4,30-07-2002,72107,Medium,18.54
Growth,USD,2850000000,1.52,3,30-07-2002,71846,Large,7.47
Blend,USD,869010000,2.29,5,29-09-2009,233666,Large,7.33
Growth,USD,507920000,0.49,5,30-09-1998,110888,Large,16.38
,USD,23300000,6.71,0,02-05-2017,31805,,6.58
Blend,USD,13590000,0,2,25-02-2010,27512,Medium,7.3
Blend,USD,226970000,4.07,2,02-04-2006,175085,Large,10.4
Blend,USD,975190000,2.12,3,29-03-2000,170081,Large,12.36
